,company_name,company_rating,industry,size,type,years_old,location
0,AU Small Finance Bank,4.4,Banking,10k-50k Employees,Fortune India 500,28,Jaipur
1,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Jaipur
2,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,Jaipur
3,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Jaipur
4,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Jaipur
5,Hero MotoCorp,4.2,Automobile,5k-10k Employees,Public,40,Jaipur
6,Deutsche Bank,4.0,Banking,10k-50k Employees,Fortune India 500,154,Jaipur
7,Kogta Financial India Limited,4.8,NBFC,1k-5k Employees,Public,28,Jaipur
8,NBC Bearings,3.9,Auto Components,1k-5k Employees,Public,78,Jaipur
9,Aavas Financiers,4.0,Financial Services,5k-10k Employees,Public,13,Jaipur
10,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Jaipur
11,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Jaipur
12,MetLife,4.3,Insurance,1k-5k Employees,Forbes Global 2000,16,Jaipur
13,BYJU'S,3.1,EdTech,10k-50k Employees,Indian Unicorn,13,Jaipur
14,Celebal Technologies,2.7,IT Services & Consulting,1k-5k Employees,Startup,9,Jaipur
15,Vodafone Idea,4.2,Telecom,5k-10k Employees,Public,6,Jaipur
16,H.G. Infra Engineering,4.4,Engineering & Construction,1k-5k Employees,Public,21,Jaipur
17,Bosch,4.3,Auto Components,5k-10k Employees,Public,138,Jaipur
18,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Jaipur
19,Kotak Mahindra Bank,3.9,Banking,50k-1 Lakh Employees,Public,21,Jaipur
20,Mahindra & Mahindra,4.2,Automobile,1 Lakh+ Employees,Public,79,Jaipur
21,Bharti Airtel,4.1,Telecom,10k-50k Employees,Public,29,Jaipur
22,Vaibhav Global,3.4,Jewellery,1k-5k Employees,Public,44,Jaipur
23,IDFC FIRST Bank,4.0,Banking,10k-50k Employees,Public,6,Jaipur
24,Genus Power Infrastructures,4.0,Consumer Electronics & Appliances,1k-5k Employees,Public,32,Jaipur
25,IndusInd Bank,3.7,Banking,10k-50k Employees,Public,30,Jaipur
26,Ericsson,4.3,Telecom,10k-50k Employees,Forbes Global 2000,148,Jaipur
27,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Jaipur
28,SK Finance Limited,4.1,NBFC,10k-50k Employees,Public,30,Jaipur
29,Gravita,4.4,Metals & Mining,201-500 Employees,Public,32,Jaipur
