,company_name,company_rating,industry,size,type,years_old,location
0,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
1,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
2,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
3,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
4,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
5,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
7,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
8,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
9,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
10,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
11,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
12,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
13,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
14,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
15,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
16,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
17,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
18,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
19,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
20,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
21,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
22,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
23,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
24,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
25,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
26,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
27,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
28,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
29,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
30,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
31,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
32,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
33,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
34,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
35,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
36,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
37,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
38,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
39,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
40,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
41,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
42,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
43,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
44,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
45,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
46,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
47,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
48,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
49,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
50,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
51,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
52,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
53,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
54,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
55,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
56,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
57,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
58,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
59,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
60,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
61,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
62,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
63,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
64,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
65,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
66,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
67,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
68,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
69,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
70,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
71,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
72,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
73,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
74,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
75,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
76,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
77,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
78,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
79,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
80,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
81,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
