,company_name,company_rating,industry,size,type,years_old,location
0,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Hyderabad
1,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Hyderabad
2,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Hyderabad
3,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,Hyderabad
4,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Hyderabad
5,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Hyderabad
6,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Hyderabad
7,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Hyderabad
8,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Hyderabad
9,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Hyderabad
10,Dr. Reddy's,4.2,Pharma,10k-50k Employees,Public,40,Hyderabad
11,Wells Fargo,4.0,Financial Services,10k-50k Employees,Public,172,Hyderabad
12,Cyient,3.8,IT Services & Consulting,10k-50k Employees,Public,33,Hyderabad
13,Aurobindo Pharma,4.0,Pharma,10k-50k Employees,Public,38,Hyderabad
14,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Hyderabad
15,HSBC Group,4.1,Banking,10k-50k Employees,Forbes Global 2000,159,Hyderabad
16,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Hyderabad
17,Megha Engineering & Infrastructures,4.0,Engineering & Construction,5k-10k Employees,Conglomerate,35,Hyderabad
18,Automatic Data Processing (ADP),4.1,Software Product,1k-5k Employees,Forbes Global 2000,75,Hyderabad
19,LTIMindtree,3.6,IT Services & Consulting,50k-1 Lakh Employees,Public,27,Hyderabad
20,KFintech,3.7,FinTech,5k-10k Employees,Startup,7,Hyderabad
21,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Hyderabad
22,UnitedHealth,4.1,Healthcare,10k-50k Employees,Forbes Global 2000,47,Hyderabad
23,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Hyderabad
24,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Hyderabad
25,Oracle,3.8,Software Product,50k-1 Lakh Employees,Public,47,Hyderabad
26,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Hyderabad
27,CGI Group,4.1,IT Services & Consulting,10k-50k Employees,Forbes Global 2000,48,Hyderabad
