,company_name,company_rating,industry,size,type,years_old,location
0,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Indore
1,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Indore
2,Cipla,4.1,Pharma,10k-50k Employees,Public,89,Indore
3,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Indore
4,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Indore
5,Lupin,4.1,Pharma,1k-5k Employees,Public,56,Indore
6,Swastika Investmart,4.4,Investment Banking / Venture Capital / Private Equity,501-1k Employees,Public,32,Indore
7,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Indore
8,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Indore
9,Vodafone Idea,4.2,Telecom,5k-10k Employees,Public,6,Indore
10,BYJU'S,3.1,EdTech,10k-50k Employees,Indian Unicorn,13,Indore
11,DXC Technology,3.8,IT Services & Consulting,10k-50k Employees,Public,7,Indore
12,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Indore
13,Viatris,4.2,Pharma,10k-50k Employees,Forbes Global 2000,4,Indore
14,InfoBeans,3.6,IT Services & Consulting,1k-5k Employees,Public,24,Indore
15,Hinduja Global Solutions,4.0,IT Services & Consulting,10k-50k Employees,Public,24,Indore
16,Bharti Airtel,4.1,Telecom,10k-50k Employees,Public,29,Indore
17,AU Small Finance Bank,4.4,Banking,10k-50k Employees,Fortune India 500,28,Indore
18,Glenmark Pharmaceuticals,4.0,Pharma,10k-50k Employees,Public,47,Indore
19,Kotak Mahindra Bank,3.9,Banking,50k-1 Lakh Employees,Public,21,Indore
20,Ipca Laboratories,4.0,Pharma,10k-50k Employees,Public,75,Indore
21,IDFC FIRST Bank,4.0,Banking,10k-50k Employees,Public,6,Indore
22,IndusInd Bank,3.7,Banking,10k-50k Employees,Public,30,Indore
23,Sayaji Hotels,4.3,Hospitality,1k-5k Employees,Public,37,Indore
24,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Indore
25,Bandhan Bank,3.8,Banking,50k-1 Lakh Employees,Public,23,Indore
26,Force Motors,3.6,Automobile,1k-5k Employees,Public,66,Indore
27,ShopKirana,3.8,Software Product,501-1k Employees,Startup,10,Indore
28,Jana Small Finance Bank,3.9,Banking,10k-50k Employees,Public,18,Indore
