,company_name,company_rating,industry,size,type,years_old,location
0,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
1,Kotak Mahindra Bank,3.9,Banking,50k-1 Lakh Employees,Public,21,Mumbai
2,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Mumbai
3,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
4,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Mumbai
5,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
7,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
8,Whitehat jr,3.5,EdTech,5k-10k Employees,Startup,6,Mumbai
9,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Mumbai
10,JPMorgan Chase & Co.,4.1,Financial Services,50k-1 Lakh Employees,Public,56,Mumbai
11,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Mumbai
12,Cipla,4.1,Pharma,10k-50k Employees,Public,89,Mumbai
13,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Mumbai
14,Reliance Industries,4.1,Oil & Gas,1 Lakh+ Employees,Public,47,Mumbai
15,Lodha group,4.1,Real Estate,5k-10k Employees,Fortune India 500,44,Mumbai
16,Godrej & Boyce Manufacturing,4.0,Consumer Electronics & Appliances,10k-50k Employees,Fortune India 500,127,Mumbai
17,Yes Bank,3.9,Banking,10k-50k Employees,Public,20,Mumbai
18,Mahindra & Mahindra,4.2,Automobile,1 Lakh+ Employees,Public,79,Mumbai
19,IDFC FIRST Bank,4.0,Banking,10k-50k Employees,Public,6,Mumbai
20,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Mumbai
21,IndusInd Bank,3.7,Banking,10k-50k Employees,Public,30,Mumbai
22,Abbott,4.2,Pharma,10k-50k Employees,Public,136,Mumbai
23,L&T Infotech,3.8,IT Services & Consulting,10k-50k Employees,Public,28,Mumbai
24,Macleods Pharmaceuticals,3.8,Pharma,10k-50k Employees,Public,38,Mumbai
25,HDFC Life,4.1,Insurance,10k-50k Employees,Public,24,Mumbai
26,Asian Paints,4.1,Chemicals,5k-10k Employees,Public,82,Mumbai
27,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Mumbai
28,Lupin,4.1,Pharma,1k-5k Employees,Public,56,Mumbai
29,Hindustan Unilever,4.3,FMCG,10k-50k Employees,Public,152,Mumbai
30,Shapoorji Pallonji Group,4.2,Engineering & Construction,5k-10k Employees,Conglomerate,159,Mumbai
31,Sun Pharmaceutical Industries,4.1,Pharma,10k-50k Employees,Public,41,Mumbai
32,Motilal Oswal Financial Services,3.8,Financial Services,10k-50k Employees,Public,37,Mumbai
33,Vodafone Idea,4.2,Telecom,5k-10k Employees,Public,6,Mumbai
34,Glenmark Pharmaceuticals,4.0,Pharma,10k-50k Employees,Public,47,Mumbai
35,Crisil,3.7,Financial Services,1k-5k Employees,Public,37,Mumbai
36,Morgan Stanley,3.7,Financial Services,10k-50k Employees,Forbes Global 2000,93,Mumbai
37,PwC,3.6,Management Consulting,10k-50k Employees,Conglomerate,144,Mumbai
38,ICICI Lombard General Insurance Company,3.8,Insurance,10k-50k Employees,Public,23,Mumbai
39,Siemens,4.2,Industrial Automation,5k-10k Employees,Public,177,Mumbai
40,Ajanta Pharma,4.1,Pharma,5k-10k Employees,Public,51,Mumbai
41,Alkem Laboratories,4.0,Pharma,10k-50k Employees,Public,51,Mumbai
42,ICICI Prudential Life Insurance,4.1,Insurance,10k-50k Employees,Public,24,Mumbai
43,Pidilite Industries,4.4,Chemicals,5k-10k Employees,Public,65,Mumbai
44,JSW Steel,4.0,Iron & Steel,10k-50k Employees,Public,42,Mumbai
