,company_name,company_rating,industry,size,type,years_old,location
0,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
1,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
2,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
3,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
4,Paytm,3.5,FinTech,10k-50k Employees,Public,14,Noida
5,Ericsson,4.3,Telecom,10k-50k Employees,Forbes Global 2000,148,Stockholm
6,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
7,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
8,Info Edge,4.0,Internet,5k-10k Employees,Public,29,Noida
9,Subros,4.0,Auto Components,1k-5k Employees,Public,39,Noida
10,Samvardhana Motherson Group,3.8,Auto Components,1k-5k Employees,Public,38,Noida
11,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
12,BYJU'S,3.1,EdTech,10k-50k Employees,Indian Unicorn,13,Bangalore
13,Samsung,4.1,Consumer Electronics & Appliances,50k-1 Lakh Employees,Public,55,Seoul
14,Sopra Steria,4.0,IT Services & Consulting,5k-10k Employees,Conglomerate,56,Paris
15,Cogent E Services,3.3,BPO,10k-50k Employees,Conglomerate,20,Noida
16,Lava International,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,15,Noida
17,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Noida
18,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Noida
19,MetLife,4.3,Insurance,1k-5k Employees,Forbes Global 2000,16,Noida
20,DXC Technology,3.8,IT Services & Consulting,10k-50k Employees,Public,7,Noida
21,JustDial,3.6,Internet,10k-50k Employees,Public,28,Noida
22,Uflex,3.8,Packaging,5k-10k Employees,Public,39,Noida
23,NEC,4.6,IT Services & Consulting,5k-10k Employees,Forbes Global 2000,125,Noida
24,DS Group,4.1,FMCG,1k-5k Employees,Conglomerate,95,Noida
25,R Systems International,3.4,IT Services & Consulting,1k-5k Employees,Public,31,Noida
26,Newgen Software Technologies,3.6,IT Services & Consulting,1k-5k Employees,Public,32,Noida
27,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Hyderabad
28,Fiserv,3.6,FinTech,5k-10k Employees,Forbes Global 2000,40,Noida
29,Barclays,4.0,Banking,10k-50k Employees,Forbes Global 2000,334,Noida
30,TELUS International Philippines,3.8,IT Services & Consulting,1k-5k Employees,Startup,19,Noida
31,Birlasoft,3.8,IT Services & Consulting,10k-50k Employees,Public,29,Noida
32,Adobe,4.2,Software Product,5k-10k Employees,Public,27,Noida
33,Isgec Heavy Engineering,3.9,Industrial Machinery,1k-5k Employees,Public,91,Noida
34,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Noida
35,UnitedHealth,4.1,Healthcare,10k-50k Employees,Forbes Global 2000,47,Noida
36,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Noida
37,Bureau Veritas,4.0,Other,1k-5k Employees,Forbes Global 2000,196,Noida
38,Paytm Payments Bank,4.0,FinTech,1k-5k Employees,Public,8,Noida
39,Kotak Mahindra Bank,3.9,Banking,50k-1 Lakh Employees,Public,21,Noida
40,Havells,4.1,Electrical Equipment,5k-10k Employees,Public,41,Noida
41,Dixon Technologies,4.2,Electronics Manufacturing,1k-5k Employees,Public,31,Noida
42,Startek,3.3,BPO,10k-50k Employees,Public,7,Noida
43,Pine Labs,3.7,FinTech,1k-5k Employees,Indian Unicorn,26,Noida
44,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Noida
45,Nucleus Software Exports,3.6,Software Product,1k-5k Employees,Public,38,Noida
46,HDFC Ergo General Insurance,4.0,Insurance,10k-50k Employees,Public,22,Noida
47,HCL Infosystems,4.1,IT Services & Consulting,51-200 Employees,Public,48,Noida
48,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Noida
49,Tata Projects,4.3,Engineering & Construction,5k-10k Employees,Public,45,Noida
50,Jubilant Foods Works,3.9,Hospitality,10k-50k Employees,Public,29,Noida
51,Transsion,4.2,Consumer Electronics & Appliances,501-1k Employees,Public,18,Noida
52,Leverage Edu,4.2,EdTech,51-200 Employees,Startup,7,Noida
53,Coforge,3.5,IT Services & Consulting,10k-50k Employees,Public,20,Noida
54,Tech Mahindra Business Services,3.5,BPO,5k-10k Employees,Public,21,Noida
55,Polestar Solutions & Services India,4.4,IT Services & Consulting,201-500 Employees,Startup,12,Noida
56,Nokia,4.2,Telecom,10k-50k Employees,Forbes Global 2000,159,Noida
57,LTIMindtree,3.6,IT Services & Consulting,50k-1 Lakh Employees,Public,27,Noida
58,Fluper,4.1,IT Services & Consulting,201-500 Employees,Public,11,Noida
59,OPPO,4.0,Consumer Electronics & Appliances,10k-50k Employees,Public,20,Noida
60,Times Internet,3.6,Internet,10k-50k Employees,Public,25,Noida
61,Addverb Technologies,4.0,Industrial Automation,501-1k Employees,Startup,8,Noida
62,M.J Global,4.3,Packaging,201-500 Employees,Public,44,Noida
63,upGrad,3.8,EdTech,5k-10k Employees,Indian Unicorn,9,Noida
64,Physicswallah,3.8,EdTech,10k-50k Employees,Indian Unicorn,5,Noida
65,Allsec Technologies,4.0,BPO,1k-5k Employees,Public,24,Noida
66,Globus Infocom,4.8,EdTech,201-500 Employees,Conglomerate,23,Noida
67,Landis+Gyr,3.7,Electrical Equipment,1k-5k Employees,Public,128,Noida
68,Innovaccer,3.2,Software Product,1k-5k Employees,Indian Unicorn,10,Noida
69,Kalpataru Power Transmission,4.2,Engineering & Construction,1k-5k Employees,Public,43,Noida
70,BYJU'S Exam Prep,3.8,EdTech,501-1k Employees,Startup,9,Noida
71,DISH TV,3.6,Broadcasting,201-500 Employees,Public,21,Noida
72,Vivo,4.1,Consumer Electronics & Appliances,5k-10k Employees,Conglomerate,15,Noida
73,Spark Minda,3.9,Auto Components,1k-5k Employees,Public,66,Noida
74,Bharti Airtel,4.1,Telecom,10k-50k Employees,Public,29,Noida
75,Fujitsu,3.9,IT Services & Consulting,5k-10k Employees,Forbes Global 2000,89,Noida
76,Ebix Software India,3.3,IT Services & Consulting,1k-5k Employees,Public,48,Noida
77,Helloverify,3.3,Law Enforcement & Security,501-1k Employees,Startup,12,Noida
78,Cyient,3.8,IT Services & Consulting,10k-50k Employees,Public,33,Noida
79,S&P Global,4.2,Analytics & KPO,10k-50k Employees,Public,164,Noida
80,Aon,3.9,Financial Services,5k-10k Employees,Forbes Global 2000,84,Noida
81,TSYS|Total System Services,4.4,Financial Services,1k-5k Employees,Public,40,Noida
82,Moglix,3.6,Internet,501-1k Employees,Indian Unicorn,9,Noida
83,3i Infotech,3.6,IT Services & Consulting,1k-5k Employees,Public,31,Noida
84,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Noida
85,The Jaypee Group,3.9,Engineering & Construction,10k-50k Employees,Public,45,Noida
86,Oracle,3.8,Software Product,50k-1 Lakh Employees,Public,47,Noida
87,LG Electronics,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,66,Noida
88,Progressive Infotech,3.5,IT Services & Consulting,1k-5k Employees,Forbes Global 2000,26,Noida
89,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Noida
90,Care Health Insurance,3.8,Internet,5k-10k Employees,Public,12,Noida
91,FarEye,3.0,IT Services & Consulting,501-1k Employees,Startup,11,Noida
92,JK Tech,3.8,IT Services & Consulting,501-1k Employees,Public,30,Noida
93,Kyndryl,4.1,IT Services & Consulting,10k-50k Employees,Public,2,Noida
94,Rockwell Automation,4.1,Industrial Automation,1k-5k Employees,Forbes Global 2000,121,Noida
95,Planetcast,3.8,Media & Entertainment,1k-5k Employees,Public,28,Noida
96,DataTrained,4.2,EdTech,501-1k Employees,Startup,12,Noida
97,Jubilant Pharmova,4.0,Pharma,1k-5k Employees,Public,46,Noida
98,Classplus,3.4,Software Product,501-1k Employees,Startup,9,Noida
99,Mahagun India,3.4,Real Estate,501-1k Employees,Conglomerate,29,Noida
100,Thales,3.8,IT Services & Consulting,1k-5k Employees,Forbes Global 2000,24,Noida
101,RapiPay,4.0,FinTech,1k-5k Employees,Startup,6,Noida
102,SCA Health India,4.8,BPO,201-500 Employees,Forbes Global 2000,11,Noida
103,MPS Limited,4.0,Content Development,1k-5k Employees,Public,54,Noida
104,Evelyn Learning Systems,3.8,EdTech,1k-5k Employees,Startup,11,Noida
105,JLL,4.2,Real Estate,10k-50k Employees,Forbes Global 2000,25,Noida
106,Sopra Banking Software,3.7,IT Services & Consulting,1k-5k Employees,Public,12,Noida
107,BigBasket,4.0,Internet,10k-50k Employees,Indian Unicorn,13,Noida
