,company_name,company_rating,industry,size,type,years_old,location
0,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Pune
1,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Pune
2,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Pune
3,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Pune
4,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Pune
5,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
6,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Pune
7,Amdocs,4.0,Software Product,10k-50k Employees,Forbes Global 2000,42,Pune
8,Tata Motors,4.2,Automobile,10k-50k Employees,Public,79,Pune
9,Vodafone Idea,4.2,Telecom,5k-10k Employees,Public,6,Pune
10,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Pune
11,BNY Mellon,4.0,Investment Banking / Venture Capital / Private Equity,10k-50k Employees,Forbes Global 2000,20,Pune
12,Mphasis,3.5,IT Services & Consulting,10k-50k Employees,Public,26,Pune
13,John Deere,4.3,Industrial Machinery,5k-10k Employees,Fortune India 500,23,Pune
14,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Pune
15,Persistent Systems,3.8,IT Services & Consulting,10k-50k Employees,Public,34,Pune
16,eClerx,3.5,IT Services & Consulting,10k-50k Employees,Public,24,Pune
17,Cummins,4.4,Industrial Machinery,1k-5k Employees,Fortune India 500,105,Pune
18,Tata Technologies,3.8,Engineering & Construction,5k-10k Employees,Conglomerate,35,Pune
19,L&T Infotech,3.8,IT Services & Consulting,10k-50k Employees,Public,28,Pune
20,Thermax Limited,4.2,Industrial Machinery,1k-5k Employees,Public,58,Pune
21,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Pune
22,Mahindra & Mahindra,4.2,Automobile,1 Lakh+ Employees,Public,79,Pune
23,LTIMindtree,3.6,IT Services & Consulting,50k-1 Lakh Employees,Public,27,Pune
24,Barclays,4.0,Banking,10k-50k Employees,Forbes Global 2000,334,Pune
25,Zensar Technologies,3.8,IT Services & Consulting,5k-10k Employees,Public,23,Pune
26,Bajaj Auto,3.9,Automobile,5k-10k Employees,Public,79,Pune
27,KPIT Technologies,3.6,Software Product,5k-10k Employees,Public,34,Pune
28,Tata Communications,4.1,Telecom,5k-10k Employees,Public,38,Pune
29,Johnson Controls,3.7,Industrial Automation,5k-10k Employees,Public,139,Pune
30,Bajaj Finserv,4.1,Financial Services,50k-1 Lakh Employees,Public,17,Pune
31,HSBC Group,4.1,Banking,10k-50k Employees,Forbes Global 2000,159,Pune
32,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Pune
33,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Pune
34,Atos,3.8,IT Services & Consulting,10k-50k Employees,Forbes Global 2000,27,Pune
35,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Pune
36,Deutsche Bank,4.0,Banking,10k-50k Employees,Fortune India 500,154,Pune
37,Emcure Pharmaceuticals,3.8,Pharma,5k-10k Employees,Fortune India 500,43,Pune
38,Fujitsu,3.9,IT Services & Consulting,5k-10k Employees,Forbes Global 2000,89,Pune
39,Tietoevry,4.3,IT Services & Consulting,1k-5k Employees,Public,56,Pune
40,Automatic Data Processing (ADP),4.1,Software Product,1k-5k Employees,Forbes Global 2000,75,Pune
41,Eaton Corporation,4.0,Power,5k-10k Employees,Public,113,Pune
42,Allstate,4.0,Insurance,5k-10k Employees,Forbes Global 2000,12,Pune
43,Fiserv,3.6,FinTech,5k-10k Employees,Forbes Global 2000,40,Pune
44,Force Motors,3.6,Automobile,1k-5k Employees,Public,66,Pune
45,Lupin,4.1,Pharma,1k-5k Employees,Public,56,Pune
46,Birlasoft,3.8,IT Services & Consulting,10k-50k Employees,Public,29,Pune
47,UBS,3.9,Investment Banking / Venture Capital / Private Equity,5k-10k Employees,Forbes Global 2000,9,Pune
48,Bharat Forge,3.9,Iron & Steel,1k-5k Employees,Public,63,Pune
49,Dassault Systemes,4.0,Software Product,5k-10k Employees,Forbes Global 2000,43,Pune
50,BYJU'S,3.1,EdTech,10k-50k Employees,Indian Unicorn,13,Pune
51,Tata AutoComp Systems,3.9,Auto Components,1k-5k Employees,Public,29,Pune
52,ElasticRun,3.4,Logistics,1k-5k Employees,Indian Unicorn,8,Pune
