,company_name,company_rating,other_data
0,TCS,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 56 years old , Hyderabad / Secunderabad +349 more"
1,Cognizant,3.9,"IT Services & Consulting , 1 Lakh+ Employees , Forbes Global 2000 , 30 years old , Hyderabad / Secunderabad +169 more"
2,Wipro,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 79 years old , Hyderabad / Secunderabad +272 more"
3,Genpact,3.9,"IT Services & Consulting , 1 Lakh+ Employees , Public , 27 years old , Hyderabad / Secunderabad +112 more"
4,Accenture,4.0,"IT Services & Consulting , 1 Lakh+ Employees , Public , 35 years old , Hyderabad / Secunderabad +181 more"
5,Tech Mahindra,3.7,"IT Services & Consulting , 1 Lakh+ Employees , Public , 38 years old , Hyderabad / Secunderabad +269 more"
6,Infosys,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 43 years old , Hyderabad / Secunderabad +182 more"
8,Amazon,4.1,"Internet , 1 Lakh+ Employees , Public , 30 years old , Hyderabad / Secunderabad +455 more"
9,Capgemini,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 57 years old , Hyderabad / Secunderabad +142 more"
10,ICICI Bank,4.0,"Banking , 1 Lakh+ Employees , Public , 30 years old , Hyderabad / Secunderabad +1295 more"
11,Dr. Reddy's,4.2,"Pharma , 10k-50k Employees , Public , 40 years old , Hyderabad / Secunderabad +165 more"
12,Wells Fargo,4.0,"Financial Services , 10k-50k Employees , Public , 172 years old , Hyderabad / Secunderabad +21 more"
13,Cyient,3.8,"IT Services & Consulting , 10k-50k Employees , Public , 33 years old , Hyderabad / Secunderabad +33 more"
14,Aurobindo Pharma,4.0,"Pharma , 10k-50k Employees , Public , 38 years old , Hyderabad / Secunderabad +93 more"
15,IBM,4.1,"IT Services & Consulting , 1 Lakh+ Employees , Public , 113 years old , Hyderabad / Secunderabad +149 more"
16,HSBC Group,4.1,"Banking , 10k-50k Employees , Forbes Global 2000 , 159 years old , Hyderabad / Secunderabad +59 more"
18,HCLTech,3.7,"IT Services & Consulting , 1 Lakh+ Employees , Public , 33 years old , Hyderabad / Secunderabad +184 more"
19,Megha Engineering & Infrastructures,4.0,"Engineering & Construction , 5k-10k Employees , Conglomerate , 35 years old , Hyderabad / Secunderabad +301 more"
20,Automatic Data Processing (ADP),4.1,"Software Product , 1k-5k Employees , Forbes Global 2000 , 75 years old , Hyderabad / Secunderabad +26 more"
24,LTIMindtree,3.6,"IT Services & Consulting , 50k-1 Lakh Employees , Public , 27 years old , Hyderabad / Secunderabad +52 more"
25,KFintech,3.7,"FinTech , 5k-10k Employees , Startup , 7 years old , Hyderabad / Secunderabad +100 more"
27,HDFC Bank,4.0,"Banking , 1 Lakh+ Employees , Public , 30 years old , Hyderabad / Secunderabad +1560 more"
30,UnitedHealth,4.1,"Healthcare , 10k-50k Employees , Forbes Global 2000 , 47 years old , Hyderabad / Secunderabad +16 more"
32,Teleperformance,3.8,"BPO , 50k-1 Lakh Employees , Forbes Global 2000 , 46 years old , Hyderabad / Secunderabad +192 more"
36,Concentrix Corporation,3.9,"BPO , 50k-1 Lakh Employees , Public , 41 years old , Hyderabad / Secunderabad +117 more"
37,Oracle,3.8,"Software Product , 50k-1 Lakh Employees , Public , 47 years old , Hyderabad / Secunderabad +47 more"
38,Axis Bank,3.9,"Banking , 50k-1 Lakh Employees , Public , 31 years old , Hyderabad / Secunderabad +1317 more"
41,CGI Group,4.1,"IT Services & Consulting , 10k-50k Employees , Forbes Global 2000 , 48 years old , Hyderabad / Secunderabad +31 more"
42,JPMorgan Chase & Co.,4.1,"Financial Services , 50k-1 Lakh Employees , Public , 56 years old , Hyderabad / Secunderabad +34 more"
47,DXC Technology,3.8,"IT Services & Consulting , 10k-50k Employees , Public , 7 years old , Hyderabad / Secunderabad +83 more"
48,Synchrony,4.4,"Financial Services , 1k-5k Employees , Forbes Global 2000 , 92 years old , Hyderabad / Secunderabad +9 more"
50,Hinduja Global Solutions,4.0,"IT Services & Consulting , 10k-50k Employees , Public , 24 years old , Hyderabad / Secunderabad +104 more"
51,S&P Global,4.2,"Analytics & KPO , 10k-50k Employees , Public , 164 years old , Hyderabad / Secunderabad +24 more"
52,Tata Projects,4.3,"Engineering & Construction , 5k-10k Employees , Public , 45 years old , Hyderabad / Secunderabad +237 more"
53,State Street Corporation,3.8,"Financial Services , 10k-50k Employees , Forbes Global 2000 , 232 years old , Hyderabad / Secunderabad +20 more"
