,company_name,company_rating,other_data
0,Zydus Lifesciences,4.2,"Pharma , 10k-50k Employees , Public , 72 years old , Ahmedabad +152 more"
1,Intas Pharmaceuticals,4.2,"Pharma , 10k-50k Employees , Fortune India 500 , 47 years old , Ahmedabad +116 more"
2,Vodafone Idea,4.2,"Telecom , 5k-10k Employees , Public , 6 years old , Ahmedabad +637 more"
3,TTEC India,3.8,"BPO , 1k-5k Employees , Public , 40 years old , Ahmedabad +24 more"
4,Cadila Pharmaceuticals,3.6,"Pharma , 5k-10k Employees , Public , 73 years old , Ahmedabad +114 more"
6,Torrent Pharmaceuticals,4.0,"Pharma , 10k-50k Employees , Public , 53 years old , Ahmedabad +97 more"
7,TCS,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 56 years old , Ahmedabad +349 more"
8,S&P Global,4.2,"Analytics & KPO , 10k-50k Employees , Public , 164 years old , Ahmedabad +24 more"
10,Arvind Group,4.1,"Fashion & Textile , 10k-50k Employees , Public , 93 years old , Ahmedabad +80 more"
11,HDFC Bank,4.0,"Banking , 1 Lakh+ Employees , Public , 30 years old , Ahmedabad +1560 more"
12,ICICI Bank,4.0,"Banking , 1 Lakh+ Employees , Public , 30 years old , Ahmedabad +1295 more"
13,Torrent Power,3.8,"Power , 5k-10k Employees , Public , 28 years old , Ahmedabad +38 more"
14,Tech Mahindra,3.7,"IT Services & Consulting , 1 Lakh+ Employees , Public , 38 years old , Ahmedabad +269 more"
16,Kotak Mahindra Bank,3.9,"Banking , 50k-1 Lakh Employees , Public , 21 years old , Ahmedabad +573 more"
17,Adani Group,4.0,"Power , 10k-50k Employees , Public , 36 years old , Ahmedabad +126 more"
18,JBM Group,4.0,"Auto Components , 1k-5k Employees , Public , 41 years old , Ahmedabad +85 more"
20,Larsen & Toubro Limited,4.1,"Engineering & Construction , 10k-50k Employees , Public , 86 years old , Ahmedabad +623 more"
21,Axis Bank,3.9,"Banking , 50k-1 Lakh Employees , Public , 31 years old , Ahmedabad +1317 more"
23,Shalby Hospitals,4.6,"Healthcare , 1k-5k Employees , Public , 30 years old , Ahmedabad +23 more"
27,Otsuka Pharmaceutical India Private Limited,4.2,"Pharma , 501-1k Employees , Forbes Global 2000 , 8 years old , Ahmedabad +31 more"
30,Tata Motors,4.2,"Automobile , 10k-50k Employees , Public , 79 years old , Ahmedabad +433 more"
33,Electrotherm,4.2,"Iron & Steel , 1k-5k Employees , Public , 41 years old , Ahmedabad +33 more"
35,Jio,4.0,"Telecom , 50k-1 Lakh Employees , Public , 6 years old , Ahmedabad +1175 more"
36,Ford Motor,4.5,"Automobile , 5k-10k Employees , Public , 121 years old , Ahmedabad +110 more"
38,Eris Lifesciences,3.8,"Pharma , 1k-5k Employees , Public , 17 years old , Ahmedabad +75 more"
39,Adani Wilmar,4.2,"FMCG , 1k-5k Employees , Public , 25 years old , Ahmedabad +154 more"
42,Bharti Airtel,4.1,"Telecom , 10k-50k Employees , Public , 29 years old , Indore +660 more"
43,Baxter International,4.1,"Healthcare , 1k-5k Employees , Forbes Global 2000 , 93 years old , Ahmedabad +26 more"
45,Reliance Industries,4.1,"Oil & Gas , 1 Lakh+ Employees , Public , 47 years old , Indore +687 more"
50,Adani Green Energy,4.2,"Power , 1k-5k Employees , Fortune India 500 , 9 years old , Indore +67 more"
51,Adani Power,3.9,"Power , 1k-5k Employees , Public , 18 years old , Mundra +84 more"
54,Mastek,3.7,"IT Services & Consulting , 1k-5k Employees , Public , 42 years old , Ahmedabad +18 more"
55,BYJU'S,3.1,"EdTech , 10k-50k Employees , Indian Unicorn , 13 years old , Indore +307 more"
56,IndusInd Bank,3.7,"Banking , 10k-50k Employees , Public , 30 years old , Indore +689 more"
57,IDFC FIRST Bank,4.0,"Banking , 10k-50k Employees , Public , 6 years old , Indore +588 more"
61,Nirma,4.3,"FMCG , 10k-50k Employees , Fortune India 500 , 34 years old , Ahmedabad +51 more"
62,LendingKart,3.2,"NBFC , 1k-5k Employees , Public , 10 years old , Ahmedabad +27 more"
65,MAS Financial Services,3.7,"Financial Services , 1k-5k Employees , Public , 29 years old , Ahmedabad +99 more"
66,QX Global Group,3.4,"IT Services & Consulting , 1k-5k Employees , Public , 21 years old , Ahmedabad +15 more"
69,Vadilal Industries,4.1,"FMCG , 501-1k Employees , Public , 117 years old , Ahmedabad +76 more"
72,Sterlite Technologies,3.8,"Hardware & Networking , 1k-5k Employees , Public , 36 years old , Ahmedabad +80 more"
73,Cliantha Research,4.0,"Clinical Research , 501-1k Employees , Public , 20 years old , Ahmedabad +8 more"
76,Zydus Hospital,4.3,"Healthcare , 1k-5k Employees , Public , 9 years old , Ahmedabad +9 more"
79,Yes Bank,3.9,"Banking , 10k-50k Employees , Public , 20 years old , Ahmedabad +447 more"
80,Gtpl Hathway,4.1,"Broadcasting , 501-1k Employees , Public , 18 years old , Ahmedabad +39 more"
81,Zydus Wellness,3.9,"FMCG , 501-1k Employees , Public , 36 years old , Ahmedabad +98 more"
83,Adani Ports and SEZ,3.9,"Ports & Shipping , 1k-5k Employees , Public , 26 years old , Ahmedabad +69 more"
86,AU Small Finance Bank,4.4,"Banking , 10k-50k Employees , Fortune India 500 , 28 years old , Ahmedabad +409 more"
88,Vestas,4.3,"Power , 1k-5k Employees , Forbes Global 2000 , 27 years old , Ahmedabad +43 more"
89,Jindal Worldwide,3.5,"Fashion & Textile , 1k-5k Employees , Public , 38 years old , Ahmedabad +3 more"
90,CARS24,3.7,"Internet , 5k-10k Employees , Indian Unicorn , 9 years old , Ahmedabad +148 more"
91,DMart,4.0,"Retail , 10k-50k Employees , Fortune India 500 , 22 years old , Ahmedabad +213 more"
93,Subros,4.0,"Auto Components , 1k-5k Employees , Public , 39 years old , Ahmedabad +60 more"
95,Claris Lifesciences Ahmedabad,3.1,"Healthcare , 1k-5k Employees , Public , 25 years old , Ahmedabad +15 more"
