,company_name,company_rating,other_data
0,Teleperformance,3.8,"BPO , 50k-1 Lakh Employees , Forbes Global 2000 , 46 years old , Indore +192 more"
1,TCS,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 56 years old , Indore +349 more"
2,Cipla,4.1,"Pharma , 10k-50k Employees , Public , 89 years old , Indore +239 more"
4,ICICI Bank,4.0,"Banking , 1 Lakh+ Employees , Public , 30 years old , Indore +1295 more"
6,HDFC Bank,4.0,"Banking , 1 Lakh+ Employees , Public , 30 years old , Indore +1560 more"
7,Lupin,4.1,"Pharma , 1k-5k Employees , Public , 56 years old , Indore +170 more"
9,Swastika Investmart,4.4,"Investment Banking / Venture Capital / Private Equity , 501-1k Employees , Public , 32 years old , Indore +41 more"
10,Jio,4.0,"Telecom , 50k-1 Lakh Employees , Public , 6 years old , Indore +1175 more"
12,Axis Bank,3.9,"Banking , 50k-1 Lakh Employees , Public , 31 years old , Indore +1317 more"
13,Vodafone Idea,4.2,"Telecom , 5k-10k Employees , Public , 6 years old , Indore +637 more"
14,BYJU'S,3.1,"EdTech , 10k-50k Employees , Indian Unicorn , 13 years old , Indore +307 more"
17,DXC Technology,3.8,"IT Services & Consulting , 10k-50k Employees , Public , 7 years old , Indore +83 more"
18,Infosys,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 43 years old , Indore +182 more"
19,Viatris,4.2,"Pharma , 10k-50k Employees , Forbes Global 2000 , 4 years old , Indore +69 more"
20,InfoBeans,3.6,"IT Services & Consulting , 1k-5k Employees , Public , 24 years old , Indore +4 more"
21,Hinduja Global Solutions,4.0,"IT Services & Consulting , 10k-50k Employees , Public , 24 years old , Indore +104 more"
22,Bharti Airtel,4.1,"Telecom , 10k-50k Employees , Public , 29 years old , Indore +660 more"
24,AU Small Finance Bank,4.4,"Banking , 10k-50k Employees , Fortune India 500 , 28 years old , Indore +409 more"
25,Glenmark Pharmaceuticals,4.0,"Pharma , 10k-50k Employees , Public , 47 years old , Indore +141 more"
27,Kotak Mahindra Bank,3.9,"Banking , 50k-1 Lakh Employees , Public , 21 years old , Indore +573 more"
30,Ipca Laboratories,4.0,"Pharma , 10k-50k Employees , Public , 75 years old , Indore +128 more"
31,IDFC FIRST Bank,4.0,"Banking , 10k-50k Employees , Public , 6 years old , Indore +588 more"
33,IndusInd Bank,3.7,"Banking , 10k-50k Employees , Public , 30 years old , Indore +689 more"
35,Sayaji Hotels,4.3,"Hospitality , 1k-5k Employees , Public , 37 years old , Indore +27 more"
36,Amazon,4.1,"Internet , 1 Lakh+ Employees , Public , 30 years old , Indore +455 more"
37,Bandhan Bank,3.8,"Banking , 50k-1 Lakh Employees , Public , 23 years old , Indore +782 more"
38,Force Motors,3.6,"Automobile , 1k-5k Employees , Public , 66 years old , Indore +82 more"
42,ShopKirana,3.8,"Software Product , 501-1k Employees , Startup , 10 years old , Indore +21 more"
43,Jana Small Finance Bank,3.9,"Banking , 10k-50k Employees , Public , 18 years old , Indore +354 more"
48,Waste Management Holdings,3.9,"Waste Management , 51-200 Employees , Forbes Global 2000 , 56 years old , Indore +12 more"
50,Macleods Pharmaceuticals,3.8,"Pharma , 10k-50k Employees , Public , 38 years old , Indore +98 more"
52,Kogta Financial India Limited,4.8,"NBFC , 1k-5k Employees , Public , 28 years old , Indore +206 more"
54,Jash Engineering,4.2,"Engineering & Construction , 51-200 Employees , Public , 76 years old , Indore +2 more"
55,SRF,4.3,"Chemicals , 5k-10k Employees , Public , 54 years old , Indore +47 more"
56,Uniinfo Telecom Services,4.0,"Telecom , 201-500 Employees , Public , 14 years old , Indore +30 more"
59,Asian Paints,4.1,"Chemicals , 5k-10k Employees , Public , 82 years old , Indore +443 more"
60,Shalby Hospitals,4.6,"Healthcare , 1k-5k Employees , Public , 30 years old , Indore +23 more"
61,HDFC Life,4.1,"Insurance , 10k-50k Employees , Public , 24 years old , Indore +563 more"
62,Patanjali Foods,4.0,"FMCG , 5k-10k Employees , Public , 38 years old , Indore +150 more"
64,Ujaas Energy,3.6,"Power , 201-500 Employees , Public , 45 years old , Indore +15 more"
65,Larsen & Toubro Limited,4.1,"Engineering & Construction , 10k-50k Employees , Public , 86 years old , Indore +623 more"
66,Flipkart,4.0,"Internet , 10k-50k Employees , Public , 17 years old , Indore +516 more"
67,ITL Industries,3.6,"Industrial Machinery , 51-200 Employees , Public , 39 years old , Indore +8 more"
68,Accenture,4.0,"IT Services & Consulting , 1 Lakh+ Employees , Public , 35 years old , Indore +181 more"
72,Paytm,3.5,"FinTech , 10k-50k Employees , Public , 14 years old , Indore +327 more"
73,Yes Bank,3.9,"Banking , 10k-50k Employees , Public , 20 years old , Indore +447 more"
74,Dilip Buildcon,4.1,"Engineering & Construction , 10k-50k Employees , Public , 37 years old , Indore +189 more"
75,IIFL Finance,4.0,"NBFC , 10k-50k Employees , Public , 29 years old , Indore +673 more"
76,Gramophone,4.1,"Agriculture , 201-500 Employees , Startup , 8 years old , Indore +15 more"
80,Mahindra & Mahindra,4.2,"Automobile , 1 Lakh+ Employees , Public , 79 years old , Indore +480 more"
83,Reliance Industries,4.1,"Oil & Gas , 1 Lakh+ Employees , Public , 47 years old , Indore +687 more"
86,Yellow Diamond,4.2,"FMCG , 1k-5k Employees , Public , 15 years old , Indore +54 more"
88,DMart,4.0,"Retail , 10k-50k Employees , Fortune India 500 , 22 years old , Indore +213 more"
90,Hindustan Unilever,4.3,"FMCG , 10k-50k Employees , Public , 152 years old , Indore +436 more"
93,ICICI Prudential Life Insurance,4.1,"Insurance , 10k-50k Employees , Public , 24 years old , Indore +450 more"
94,Samvardhana Motherson Group,3.8,"Auto Components , 1k-5k Employees , Public , 38 years old , Indore +81 more"
98,Apollo Hospitals,4.2,"Healthcare , 10k-50k Employees , Public , 41 years old , Indore +189 more"
100,Samsung,4.1,"Consumer Electronics & Appliances , 50k-1 Lakh Employees , Public , 55 years old , Indore +499 more"
101,JK Cement,4.2,"Building Material , 1k-5k Employees , Public , 49 years old , Indore +244 more"
102,Shakti Pumps,3.9,"Industrial Machinery , 501-1k Employees , Public , 42 years old , Indore +34 more"
103,Bridgestone,4.2,"Auto Components , 1k-5k Employees , Forbes Global 2000 , 28 years old , Indore +49 more"
104,CreativeFuel,4.4,"Marketing & Advertising , 51-200 Employees , Startup , 4 years old , Indore +1 more"
106,Bajaj Finserv,4.1,"Financial Services , 50k-1 Lakh Employees , Public , 17 years old , Indore +904 more"
108,ICICI Lombard General Insurance Company,3.8,"Insurance , 10k-50k Employees , Public , 23 years old , Indore +264 more"
109,OPPO,4.0,"Consumer Electronics & Appliances , 10k-50k Employees , Public , 20 years old , Indore +354 more"
111,Vivo,4.1,"Consumer Electronics & Appliances , 5k-10k Employees , Conglomerate , 15 years old , Indore +373 more"
112,First Source,3.8,"BPO , 10k-50k Employees , Public , 23 years old , Indore +55 more"
113,Shriram Finance,4.1,"NBFC , 50k-1 Lakh Employees , Public , 45 years old , Indore +966 more"
116,Reliance Communications,4.0,"Telecom , 201-500 Employees , Public , 22 years old , Indore +420 more"
117,Unichem Laboratories,3.9,"Pharma , 1k-5k Employees , Public , 80 years old , Indore +65 more"
122,Oyo Rooms,3.4,"Hospitality , 1k-5k Employees , Indian Unicorn , 11 years old , Indore +113 more"
123,Tata Capital,4.2,"NBFC , 5k-10k Employees , Fortune India 500 , 17 years old , Indore +236 more"
124,UltraTech Cement,4.2,"Building Material , 10k-50k Employees , Public , 41 years old , Indore +433 more"
126,Eicher Motors,4.2,"Automobile , 5k-10k Employees , Public , 42 years old , Indore +81 more"
129,Dainik Bhaskar Group,4.4,"Printing & Publishing , 5k-10k Employees , Public , 66 years old , Indore +128 more"
131,CARS24,3.7,"Internet , 5k-10k Employees , Indian Unicorn , 9 years old , Indore +148 more"
132,Alkem Laboratories,4.0,"Pharma , 10k-50k Employees , Public , 51 years old , Indore +165 more"
133,JBM Group,4.0,"Auto Components , 1k-5k Employees , Public , 41 years old , Indore +85 more"
145,Delhivery,4.0,"Logistics , 10k-50k Employees , Fortune India 500 , 13 years old , Indore +632 more"
146,L&T Construction,4.1,"Engineering & Construction , 5k-10k Employees , Public , 80 years old , Indore +360 more"
148,BigBasket,4.0,"Internet , 10k-50k Employees , Indian Unicorn , 13 years old , Indore +116 more"
150,Vacmet India,4.4,"Packaging , 501-1k Employees , Public , 31 years old , Indore +12 more"
151,Ralson India,3.8,"Auto Components , 501-1k Employees , Public , 50 years old , Indore +40 more"
153,Equitas Small Finance Bank,4.4,"Banking , 10k-50k Employees , Fortune India 500 , 17 years old , Indore +368 more"
158,Bharti Infratel,4.3,"Telecom , 1k-5k Employees , Public , 18 years old , Indore +67 more"
162,SpeedLabs,3.5,"EdTech , 201-500 Employees , Startup , 9 years old , Indore +16 more"
163,Aavas Financiers,4.0,"Financial Services , 5k-10k Employees , Public , 13 years old , Indore +235 more"
164,Havells,4.1,"Electrical Equipment , 5k-10k Employees , Public , 41 years old , Indore +185 more"
166,TVS Credit,4.5,"NBFC , 10k-50k Employees , Public , 16 years old , Indore +312 more"
173,1point1 Solutions,3.4,"BPO , 5k-10k Employees , Public , 16 years old , Indore +14 more"
177,Dabur,3.8,"FMCG , 5k-10k Employees , Public , 140 years old , Indore +250 more"
179,Stanza Living,3.1,"Internet , 501-1k Employees , Startup , 7 years old , Indore +30 more"
180,Poonawalla Fincorp,3.9,"NBFC , 1k-5k Employees , Public , 36 years old , Indore +246 more"
181,Mphasis,3.5,"IT Services & Consulting , 10k-50k Employees , Public , 26 years old , Indore +54 more"
182,Manappuram Finance,4.0,"NBFC , 10k-50k Employees , Public , 75 years old , Indore +513 more"
183,Piramal Group,4.0,"Financial Services , 10k-50k Employees , Fortune India 500 , 44 years old , Indore +122 more"
185,Ujjivan Small Finance Bank,4.1,"Banking , 10k-50k Employees , Public , 7 years old , Indore +447 more"
186,Indiabulls Home Loans,3.9,"NBFC , 5k-10k Employees , Public , 19 years old , Indore +190 more"
187,Pidilite Industries,4.4,"Chemicals , 5k-10k Employees , Public , 65 years old , Indore +242 more"
188,Walmart,4.0,"Retail , 5k-10k Employees , Forbes Global 2000 , 15 years old , Indore +78 more"
192,Cholamandalam Investment & Finance,4.1,"NBFC , 10k-50k Employees , Fortune India 500 , 46 years old , Indore +645 more"
193,Quess,4.0,"BPO , 1k-5k Employees , Public , 17 years old , Indore +542 more"
201,Tata Motors,4.2,"Automobile , 10k-50k Employees , Public , 79 years old , Indore +433 more"
204,Indian Steel Corporation,4.2,"Iron & Steel , 1k-5k Employees , Public , 20 years old , Indore +10 more"
205,PolicyX.com,3.5,"FinTech , 51-200 Employees , Startup , 11 years old , Indore +4 more"
207,USHA International,4.2,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 90 years old , Indore +111 more"
210,AVTEC,3.8,"Auto Components , 1k-5k Employees , Conglomerate , 19 years old , Indore +20 more"
213,Rivigo,3.9,"Internet , 1k-5k Employees , Indian Unicorn , 10 years old , Indore +151 more"
215,Cummins,4.4,"Industrial Machinery , 1k-5k Employees , Fortune India 500 , 105 years old , Indore +86 more"
216,Arihant Capital Markets,3.4,"Financial Services , 201-500 Employees , Public , 32 years old , Indore +13 more"
218,Metro Cash & Carry,4.3,"Retail , 1k-5k Employees , Forbes Global 2000 , 21 years old , Indore +77 more"
220,Sun Pharmaceutical Industries,4.1,"Pharma , 10k-50k Employees , Public , 41 years old , Indore +207 more"
224,Inox Leisure,4.1,"Media & Entertainment , 1k-5k Employees , Public , 25 years old , Indore +86 more"
226,VSN International,3.7,"IT Services & Consulting , 51-200 Employees , Public , 24 years old , Indore +2 more"
227,Aditya Birla Fashion and Retail,4.2,"Fashion & Textile , 10k-50k Employees , Fortune India 500 , 36 years old , Indore +233 more"
230,Abbott,4.2,"Pharma , 10k-50k Employees , Public , 136 years old , Indore +169 more"
236,Capri Global Capital,3.7,"NBFC , 1k-5k Employees , Public , 27 years old , Indore +218 more"
239,Muthoot Finance,3.6,"NBFC , 10k-50k Employees , Public , 85 years old , Indore +645 more"
241,Rakuten,3.7,"IT Services & Consulting , 1k-5k Employees , Forbes Global 2000 , 27 years old , Indore +10 more"
247,RBL Bank,3.8,"Banking , 10k-50k Employees , Public , 81 years old , Indore +226 more"
253,Syncom Formulations India,3.4,"Pharma , 201-500 Employees , Public , 18 years old , Indore +2 more"
255,XpressBees,3.8,"Logistics , 5k-10k Employees , Indian Unicorn , 9 years old , Indore +238 more"
256,Berger Paints,3.8,"Chemicals , 1k-5k Employees , Public , 101 years old , Indore +261 more"
262,Flexituff Ventures International,3.9,"Packaging , 51-200 Employees , Public , 58 years old , Indore +10 more"
263,Blue Star,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 81 years old , Indore +133 more"
265,Maral Overseas,3.6,"Fashion & Textile , 1k-5k Employees , Public , 33 years old , Indore +11 more"
267,PVR Cinemas,4.1,"Media & Entertainment , 1k-5k Employees , Public , 27 years old , Indore +107 more"
271,Tech Mahindra,3.7,"IT Services & Consulting , 1 Lakh+ Employees , Public , 38 years old , Indore +269 more"
276,Torrent Pharmaceuticals,4.0,"Pharma , 10k-50k Employees , Public , 53 years old , Indore +97 more"
277,Adani Wilmar,4.2,"FMCG , 1k-5k Employees , Public , 25 years old , Indore +154 more"
283,Persistent Systems,3.8,"IT Services & Consulting , 10k-50k Employees , Public , 34 years old , Indore +33 more"
284,Lotus Electronics,4.7,"Consumer Electronics & Appliances , 201-500 Employees (Global) , Public , 24 years old , Indore +9 more"
286,Indus Towers,4.0,"Telecom , 1k-5k Employees , Fortune India 500 , 17 years old , Indore +159 more"
288,Shoppers Stop,4.1,"Retail , 5k-10k Employees , Public , 33 years old , Indore +66 more"
290,LG Electronics,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 66 years old , Indore +246 more"
291,Future Group,4.3,"Retail , 10k-50k Employees , Conglomerate , 11 years old , Indore +196 more"
293,Star Health & Allied Insurance,3.9,"Insurance , 10k-50k Employees , Fortune India 500 , 18 years old , Indore +247 more"
296,Safexpress,4.1,"Logistics , 1k-5k Employees , Conglomerate , 27 years old , Indore +141 more"
297,Kriti Nutrients,4.4,"Agro Chemicals , 501-1k Employees , Public , 28 years old , Indore +5 more"
301,Safexpress,4.1,"Logistics , 1k-5k Employees , Conglomerate , 27 years old , Indore +141 more"
303,Kriti Nutrients,4.4,"Agro Chemicals , 501-1k Employees , Public , 28 years old , Indore +5 more"
305,ClassMonitor,3.5,"Internet , 51-200 Employees , Startup , 8 years old , Indore"
310,SYSKA LED Lights,2.9,"Consumer Electronics & Appliances , 1k-5k Employees (Global) , Startup , 12 years old , Indore +151 more"
311,Lifestyle,4.4,"Retail , 10k-50k Employees , Fortune India 500 , 25 years old , Indore +114 more"
313,John Deere,4.3,"Industrial Machinery , 5k-10k Employees , Fortune India 500 , 23 years old , Indore +120 more"
316,Marriott International,4.3,"Hospitality , 10k-50k Employees , Forbes Global 2000 , 97 years old , Indore +73 more"
319,Swiggy,3.9,"Internet , 5k-10k Employees , Indian Unicorn , 10 years old , Indore +193 more"
321,Mahindra Finance,4.3,"NBFC , 10k-50k Employees , Public , 33 years old , Indore +632 more"
