,company_name,company_rating,other_data
0,AU Small Finance Bank,4.4,"Banking , 10k-50k Employees , Fortune India 500 , 28 years old , Jaipur +409 more"
1,Teleperformance,3.8,"BPO , 50k-1 Lakh Employees , Forbes Global 2000 , 46 years old , Jaipur +192 more"
2,Genpact,3.9,"IT Services & Consulting , 1 Lakh+ Employees , Public , 27 years old , Jaipur +112 more"
3,ICICI Bank,4.0,"Banking , 1 Lakh+ Employees , Public , 30 years old , Jaipur +1295 more"
4,HDFC Bank,4.0,"Banking , 1 Lakh+ Employees , Public , 30 years old , Jaipur +1560 more"
5,Hero MotoCorp,4.2,"Automobile , 5k-10k Employees , Public , 40 years old , Jaipur +315 more"
6,Deutsche Bank,4.0,"Banking , 10k-50k Employees , Fortune India 500 , 154 years old , Jaipur +38 more"
7,Kogta Financial India Limited,4.8,"NBFC , 1k-5k Employees , Public , 28 years old , Jaipur +206 more"
8,NBC Bearings,3.9,"Auto Components , 1k-5k Employees , Public , 78 years old , Jaipur +25 more"
12,Aavas Financiers,4.0,"Financial Services , 5k-10k Employees , Public , 13 years old , Jaipur +235 more"
15,Infosys,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 43 years old , Jaipur +182 more"
16,Jio,4.0,"Telecom , 50k-1 Lakh Employees , Public , 6 years old , Jaipur +1175 more"
17,MetLife,4.3,"Insurance , 1k-5k Employees , Forbes Global 2000 , 16 years old , Jaipur +39 more"
18,BYJU'S,3.1,"EdTech , 10k-50k Employees , Indian Unicorn , 13 years old , Jaipur +307 more"
19,Celebal Technologies,2.7,"IT Services & Consulting , 1k-5k Employees , Startup , 9 years old , Jaipur +15 more"
20,Vodafone Idea,4.2,"Telecom , 5k-10k Employees , Public , 6 years old , Jaipur +637 more"
21,H.G. Infra Engineering,4.4,"Engineering & Construction , 1k-5k Employees , Public , 21 years old , Jaipur +77 more"
24,Bosch,4.3,"Auto Components , 5k-10k Employees , Public , 138 years old , Jaipur +103 more"
25,Axis Bank,3.9,"Banking , 50k-1 Lakh Employees , Public , 31 years old , Jaipur +1317 more"
26,Kotak Mahindra Bank,3.9,"Banking , 50k-1 Lakh Employees , Public , 21 years old , Jaipur +573 more"
27,Mahindra & Mahindra,4.2,"Automobile , 1 Lakh+ Employees , Public , 79 years old , Jaipur +480 more"
28,Bharti Airtel,4.1,"Telecom , 10k-50k Employees , Public , 29 years old , Jaipur +660 more"
29,Vaibhav Global,3.4,"Jewellery , 1k-5k Employees , Public , 44 years old , Jaipur +8 more"
30,IDFC FIRST Bank,4.0,"Banking , 10k-50k Employees , Public , 6 years old , Jaipur +588 more"
33,Genus Power Infrastructures,4.0,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 32 years old , Jaipur +45 more"
39,IndusInd Bank,3.7,"Banking , 10k-50k Employees , Public , 30 years old , Jaipur +689 more"
42,Ericsson,4.3,"Telecom , 10k-50k Employees , Forbes Global 2000 , 148 years old , Jaipur +151 more"
44,Larsen & Toubro Limited,4.1,"Engineering & Construction , 10k-50k Employees , Public , 86 years old , Jaipur +623 more"
46,SK Finance Limited,4.1,"NBFC , 10k-50k Employees , Public , 30 years old , Jaipur +149 more"
48,Gravita,4.4,"Metals & Mining , 201-500 Employees , Public , 32 years old , Jaipur +13 more"
49,Paytm,3.5,"FinTech , 10k-50k Employees , Public , 14 years old , Jaipur +327 more"
50,Amazon,4.1,"Internet , 1 Lakh+ Employees , Public , 30 years old , Jaipur +455 more"
51,CarDekho,3.7,"Internet , 1k-5k Employees , Indian Unicorn , 16 years old , Jaipur +68 more"
57,Mayur Uniquoters,4.2,"Leather , 501-1k Employees , Public , 32 years old , Jaipur +7 more"
59,Reliance Industries,4.1,"Oil & Gas , 1 Lakh+ Employees , Public , 47 years old , Jaipur +687 more"
61,HDFC Life,4.1,"Insurance , 10k-50k Employees , Public , 24 years old , Jaipur +563 more"
62,DealShare,3.5,"Internet , 1k-5k Employees , Indian Unicorn , 6 years old , Jaipur +45 more"
64,Ess Kay Fincorp,4.1,"NBFC , 5k-10k Employees , Public , 30 years old , Jaipur +108 more"
65,JustDial,3.6,"Internet , 10k-50k Employees , Public , 28 years old , Jaipur +181 more"
69,UltraTech Cement,4.2,"Building Material , 10k-50k Employees , Public , 41 years old , Jaipur +433 more"
71,Oyo Rooms,3.4,"Hospitality , 1k-5k Employees , Indian Unicorn , 11 years old , Jaipur +113 more"
73,Asian Paints,4.1,"Chemicals , 5k-10k Employees , Public , 82 years old , Jaipur +443 more"
75,ICICI Prudential Life Insurance,4.1,"Insurance , 10k-50k Employees , Public , 24 years old , Jaipur +450 more"
76,Yes Bank,3.9,"Banking , 10k-50k Employees , Public , 20 years old , Jaipur +447 more"
79,Flipkart,4.0,"Internet , 10k-50k Employees , Public , 17 years old , Jaipur +516 more"
81,Consulting Engineers Group,4.2,"Engineering & Construction , 1k-5k Employees , Public , 40 years old , Jaipur +55 more"
82,Bajaj Finserv,4.1,"Financial Services , 50k-1 Lakh Employees , Public , 17 years old , Jaipur +904 more"
86,IIFL Finance,4.0,"NBFC , 10k-50k Employees , Public , 29 years old , Jaipur +673 more"
91,Vivo,4.1,"Consumer Electronics & Appliances , 5k-10k Employees , Conglomerate , 15 years old , Jaipur +373 more"
92,Wipro,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 79 years old , Jaipur +272 more"
93,Dainik Bhaskar Group,4.4,"Printing & Publishing , 5k-10k Employees , Public , 66 years old , Jaipur +128 more"
94,Narayana Health,4.2,"Healthcare , 10k-50k Employees , Fortune India 500 , 24 years old , Jaipur +57 more"
95,Samsung,4.1,"Consumer Electronics & Appliances , 50k-1 Lakh Employees , Public , 55 years old , Jaipur +499 more"
98,L&T Construction,4.1,"Engineering & Construction , 5k-10k Employees , Public , 80 years old , Jaipur +360 more"
100,L&T Construction,4.1,"Engineering & Construction , 5k-10k Employees , Public , 80 years old , Jaipur +360 more"
103,Delhivery,4.0,"Logistics , 10k-50k Employees , Fortune India 500 , 13 years old , Jaipur +632 more"
104,Quess,4.0,"BPO , 1k-5k Employees , Public , 17 years old , Jaipur +542 more"
107,KEC International,4.1,"Engineering & Construction , 5k-10k Employees , Public , 79 years old , Jaipur +261 more"
110,OPPO,4.0,"Consumer Electronics & Appliances , 10k-50k Employees , Public , 20 years old , Jaipur +354 more"
116,DMart,4.0,"Retail , 10k-50k Employees , Fortune India 500 , 22 years old , Jaipur +213 more"
117,MyTeam11,4.6,"Gaming , 201-500 Employees , Startup , 8 years old , Jaipur +1 more"
123,Indian Army,4.7,"Defence & Aerospace , 1 Lakh+ Employees , Public , 129 years old , Jaipur +326 more"
126,Shalby Hospitals,4.6,"Healthcare , 1k-5k Employees , Public , 30 years old , Jaipur +23 more"
130,Bandhan Bank,3.8,"Banking , 50k-1 Lakh Employees , Public , 23 years old , Jaipur +782 more"
132,Ashiana Housing,4.1,"Real Estate , 501-1k Employees , Public , 45 years old , Jaipur +16 more"
133,ITC,4.0,"FMCG , 10k-50k Employees , Public , 114 years old , Jaipur +301 more"
135,Reliance Communications,4.0,"Telecom , 201-500 Employees , Public , 22 years old , Jaipur +420 more"
139,Equitas Small Finance Bank,4.4,"Banking , 10k-50k Employees , Fortune India 500 , 17 years old , Jaipur +368 more"
143,Havells,4.1,"Electrical Equipment , 5k-10k Employees , Public , 41 years old , Jaipur +185 more"
144,Varun Beverages,4.1,"Beverage , 5k-10k Employees , Public , 29 years old , Jaipur +286 more"
146,Tata Motors,4.2,"Automobile , 10k-50k Employees , Public , 79 years old , Jaipur +433 more"
148,USHA International,4.2,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 90 years old , Jaipur +111 more"
