,company_name,company_rating,other_data
0,TCS,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 56 years old , Mumbai +349 more"
1,Kotak Mahindra Bank,3.9,"Banking , 50k-1 Lakh Employees , Public , 21 years old , Mumbai +573 more"
2,Accenture,4.0,"IT Services & Consulting , 1 Lakh+ Employees , Public , 35 years old , Mumbai +181 more"
3,ICICI Bank,4.0,"Banking , 1 Lakh+ Employees , Public , 30 years old , Mumbai +1295 more"
4,Capgemini,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 57 years old , Mumbai +142 more"
5,HDFC Bank,4.0,"Banking , 1 Lakh+ Employees , Public , 30 years old , Mumbai +1560 more"
6,Axis Bank,3.9,"Banking , 50k-1 Lakh Employees , Public , 31 years old , Mumbai +1317 more"
8,Larsen & Toubro Limited,4.1,"Engineering & Construction , 10k-50k Employees , Public , 86 years old , Mumbai +623 more"
9,Whitehat jr,3.5,"EdTech , 5k-10k Employees , Startup , 6 years old , Mumbai +50 more"
10,Wipro,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 79 years old , Mumbai +272 more"
11,JPMorgan Chase & Co.,4.1,"Financial Services , 50k-1 Lakh Employees , Public , 56 years old , Mumbai +34 more"
13,Teleperformance,3.8,"BPO , 50k-1 Lakh Employees , Forbes Global 2000 , 46 years old , Mumbai +192 more"
14,Cipla,4.1,"Pharma , 10k-50k Employees , Public , 89 years old , Mumbai +239 more"
16,Jio,4.0,"Telecom , 50k-1 Lakh Employees , Public , 6 years old , Mumbai +1175 more"
18,Reliance Industries,4.1,"Oil & Gas , 1 Lakh+ Employees , Public , 47 years old , Mumbai +687 more"
19,Lodha group,4.1,"Real Estate , 5k-10k Employees , Fortune India 500 , 44 years old , Mumbai +23 more"
20,Godrej & Boyce Manufacturing,4.0,"Consumer Electronics & Appliances , 10k-50k Employees , Fortune India 500 , 127 years old , Mumbai +129 more"
21,Yes Bank,3.9,"Banking , 10k-50k Employees , Public , 20 years old , Mumbai +447 more"
22,Mahindra & Mahindra,4.2,"Automobile , 1 Lakh+ Employees , Public , 79 years old , Mumbai +480 more"
23,IDFC FIRST Bank,4.0,"Banking , 10k-50k Employees , Public , 6 years old , Mumbai +588 more"
25,Tech Mahindra,3.7,"IT Services & Consulting , 1 Lakh+ Employees , Public , 38 years old , Mumbai +269 more"
26,IndusInd Bank,3.7,"Banking , 10k-50k Employees , Public , 30 years old , Mumbai +689 more"
27,Abbott,4.2,"Pharma , 10k-50k Employees , Public , 136 years old , Mumbai +169 more"
28,L&T Infotech,3.8,"IT Services & Consulting , 10k-50k Employees , Public , 28 years old , Mumbai +84 more"
29,Macleods Pharmaceuticals,3.8,"Pharma , 10k-50k Employees , Public , 38 years old , Mumbai +98 more"
31,HDFC Life,4.1,"Insurance , 10k-50k Employees , Public , 24 years old , Mumbai +563 more"
32,Asian Paints,4.1,"Chemicals , 5k-10k Employees , Public , 82 years old , Mumbai +443 more"
33,Cognizant,3.9,"IT Services & Consulting , 1 Lakh+ Employees , Forbes Global 2000 , 30 years old , Mumbai +169 more"
34,Lupin,4.1,"Pharma , 1k-5k Employees , Public , 56 years old , Mumbai +170 more"
35,Hindustan Unilever,4.3,"FMCG , 10k-50k Employees , Public , 152 years old , Mumbai +436 more"
36,Shapoorji Pallonji Group,4.2,"Engineering & Construction , 5k-10k Employees , Conglomerate , 159 years old , Mumbai +162 more"
37,Sun Pharmaceutical Industries,4.1,"Pharma , 10k-50k Employees , Public , 41 years old , Mumbai +207 more"
38,Motilal Oswal Financial Services,3.8,"Financial Services , 10k-50k Employees , Public , 37 years old , Mumbai +128 more"
39,Vodafone Idea,4.2,"Telecom , 5k-10k Employees , Public , 6 years old , Mumbai +637 more"
40,Glenmark Pharmaceuticals,4.0,"Pharma , 10k-50k Employees , Public , 47 years old , Mumbai +141 more"
41,Crisil,3.7,"Financial Services , 1k-5k Employees , Public , 37 years old , Mumbai +53 more"
42,Morgan Stanley,3.7,"Financial Services , 10k-50k Employees , Forbes Global 2000 , 93 years old , Mumbai +16 more"
43,PwC,3.6,"Management Consulting , 10k-50k Employees , Conglomerate , 144 years old , Mumbai +93 more"
44,ICICI Lombard General Insurance Company,3.8,"Insurance , 10k-50k Employees , Public , 23 years old , Mumbai +264 more"
45,Siemens,4.2,"Industrial Automation , 5k-10k Employees , Public , 177 years old , Mumbai +129 more"
46,Ajanta Pharma,4.1,"Pharma , 5k-10k Employees , Public , 51 years old , Mumbai +96 more"
47,Alkem Laboratories,4.0,"Pharma , 10k-50k Employees , Public , 51 years old , Mumbai +165 more"
